sn,batch,section,id,en_url,id_url,en_extracted,ui_sweep,id_copy,route,gated,seo_meta,verify,browser_qa,status,notes
1,1,Home,/,http://localhost:3002/,http://localhost:3002/id,n/a,done,done,done,done,done,done,done,done,
2,1,Tools,remove-background,http://localhost:3002/remove-background,http://localhost:3002/id/hapus-background,done,done,done,done,done,done,done,done,done,
3,1,Tools,compress-image,http://localhost:3002/compress-image,http://localhost:3002/id/kompres-foto,done,done,done,done,done,done,done,done,done,
4,1,Tools,upscale-image,http://localhost:3002/upscale-image,http://localhost:3002/id/hd-foto,done,done,done,done,done,done,done,done,done,
5,1,Tools,image-to-pdf,http://localhost:3002/image-to-pdf,http://localhost:3002/id/foto-ke-pdf,done,done,done,done,done,done,done,done,done,
6,2,Tools,image-editor,http://localhost:3002/image-editor,http://localhost:3002/id/editor-foto,done,done,done,done,done,done,done,done,done,
7,2,Tools,merge-images,http://localhost:3002/merge-images,http://localhost:3002/id/gabungkan-foto,done,done,done,done,done,done,done,done,done,
8,2,Tools,resize-image,http://localhost:3002/resize-image,http://localhost:3002/id/ubah-ukuran-foto,done,done,done,done,done,done,done,done,done,
9,2,Tools,add-border,http://localhost:3002/add-border,http://localhost:3002/id/bingkai-foto,done,done,done,done,done,done,done,done,done,
10,2,Tools,image-color-picker,http://localhost:3002/image-color-picker,http://localhost:3002/id/color-picker,done,done,done,done,done,done,done,done,done,
11,3,Tools,crop-image,http://localhost:3002/crop-image,http://localhost:3002/id/crop-foto,done,done,done,done,done,done,done,done,done,
12,3,Tools,convert-to-jpg,http://localhost:3002/convert-to-jpg,http://localhost:3002/id/ubah-foto-ke-jpg,done,done,done,done,done,done,done,done,done,
13,3,Tools,blur-image,http://localhost:3002/blur-image,http://localhost:3002/id/blur-foto,done,done,done,done,done,done,done,done,done,
14,3,Tools,grayscale-image,http://localhost:3002/grayscale-image,http://localhost:3002/id/foto-hitam-putih,done,done,done,done,done,done,done,done,done,
15,3,Tools,jpg-to-png,http://localhost:3002/jpg-to-png,http://localhost:3002/id/jpg-ke-png,done,done,done,done,done,done,done,done,done,
16,4,Legal,/privacy,http://localhost:3002/privacy,http://localhost:3002/id/privasi,n/a,done,done,done,done,done,done,done,done,
17,4,Legal,/terms,http://localhost:3002/terms,http://localhost:3002/id/syarat-ketentuan,n/a,done,done,done,done,done,done,done,done,
18,4,Legal,/refunds,http://localhost:3002/refunds,http://localhost:3002/id/pengembalian-dana,n/a,done,done,done,done,done,done,done,done,
19,4,Legal,/cookies,http://localhost:3002/cookies,http://localhost:3002/id/cookies,n/a,done,done,done,done,done,done,done,done,
20,5,Tools,webp-to-jpg,http://localhost:3002/webp-to-jpg,http://localhost:3002/id/webp-ke-jpg,n/a,done,done,done,done,done,done,done,done,
21,5,Tools,webp-to-png,http://localhost:3002/webp-to-png,http://localhost:3002/id/webp-ke-png,n/a,done,done,done,done,done,done,done,done,
22,5,Tools,jpg-to-webp,http://localhost:3002/jpg-to-webp,http://localhost:3002/id/jpg-ke-webp,n/a,done,done,done,done,done,done,done,done,
23,5,Tools,png-to-webp,http://localhost:3002/png-to-webp,http://localhost:3002/id/png-ke-webp,n/a,done,done,done,done,done,done,done,done,
24,5,Tools,jfif-to-jpg,http://localhost:3002/jfif-to-jpg,http://localhost:3002/id/jfif-ke-jpg,n/a,done,done,done,done,done,done,done,done,
25,6,Tools,gif-to-png,http://localhost:3002/gif-to-png,http://localhost:3002/id/gif-ke-png,n/a,done,done,done,done,done,done,done,done,
26,6,Tools,gif-to-jpg,http://localhost:3002/gif-to-jpg,http://localhost:3002/id/gif-ke-jpg,n/a,done,done,done,done,done,done,done,done,
27,6,Tools,bmp-to-jpg,http://localhost:3002/bmp-to-jpg,http://localhost:3002/id/bmp-ke-jpg,n/a,done,done,done,done,done,done,done,done,
28,6,Tools,avif-to-jpg,http://localhost:3002/avif-to-jpg,http://localhost:3002/id/avif-ke-jpg,n/a,done,done,done,done,done,done,done,done,
29,6,Tools,avif-to-png,http://localhost:3002/avif-to-png,http://localhost:3002/id/avif-ke-png,n/a,done,done,done,done,done,done,done,done,
30,7,Tools,png-to-jpg,http://localhost:3002/png-to-jpg,http://localhost:3002/id/png-ke-jpg,done,done,done,done,done,done,done,done,done,
31,7,Tools,gif-maker,http://localhost:3002/gif-maker,http://localhost:3002/id/gif-maker,done,done,done,done,done,done,done,done,done,
32,7,Tools,meme-generator,http://localhost:3002/meme-generator,http://localhost:3002/id/meme-generator,done,done,done,done,done,done,done,done,done,
33,7,Tools,image-to-text,http://localhost:3002/image-to-text,http://localhost:3002/id/gambar-ke-teks,done,done,done,done,done,done,done,done,done,
34,7,Tools,heic-to-jpg,http://localhost:3002/heic-to-jpg,http://localhost:3002/id/heic-ke-jpg,done,done,done,done,done,done,done,done,done,
35,8,Tools,watermark-image,http://localhost:3002/watermark-image,http://localhost:3002/id/watermark-foto,done,done,done,done,done,done,done,done,done,
36,8,Tools,image-to-base64,http://localhost:3002/image-to-base64,http://localhost:3002/id/image-to-base64,done,done,done,done,done,done,done,done,done,
37,8,Tools,circle-crop,http://localhost:3002/circle-crop,http://localhost:3002/id/crop-foto-bulat,done,done,done,done,done,done,done,done,done,
38,8,Tools,rotate-image,http://localhost:3002/rotate-image,http://localhost:3002/id/putar-foto,done,done,done,done,done,done,done,done,done,
39,8,Tools,heic-to-png,http://localhost:3002/heic-to-png,http://localhost:3002/id/heic-ke-png,done,done,done,done,done,done,done,done,done,
40,9,Tools,base64-to-image,http://localhost:3002/base64-to-image,http://localhost:3002/id/base64-to-image,done,done,done,done,done,done,done,done,done,
41,9,Tools,gif-to-images,http://localhost:3002/gif-to-images,http://localhost:3002/id/gif-ke-gambar,done,done,done,done,done,done,done,done,done,
42,9,Tools,remove-exif,http://localhost:3002/remove-exif,http://localhost:3002/id/hapus-exif,done,done,done,done,done,done,done,done,done,
43,10,Tools,html-to-image,http://localhost:3002/html-to-image,http://localhost:3002/id/html-ke-gambar,done,done,done,done,done,done,done,done,done,
44,10,Tools,image-metadata,http://localhost:3002/image-metadata,http://localhost:3002/id/metadata-foto,done,done,done,done,done,done,done,done,done,
45,10,Tools,blur-face,http://localhost:3002/blur-face,http://localhost:3002/id/blur-wajah,done,done,done,done,done,done,done,done,done,
46,11,Pages,/contact,http://localhost:3002/contact,http://localhost:3002/id/kontak,n/a,done,done,done,done,done,done,done,done,
47,11,Hub,/image-converter,http://localhost:3002/image-converter,http://localhost:3002/id/konverter-gambar,n/a,done,done,done,done,done,done,done,done,
48,11,Pages,/pricing,http://localhost:3002/pricing,http://localhost:3002/id/harga,n/a,done,done,done,done,done,done,done,done,
49,11,Account,/login,http://localhost:3002/login,http://localhost:3002/id/masuk,n/a,done,done,done,done,done,done,done,done,
50,11,Account,/signup,http://localhost:3002/signup,http://localhost:3002/id/daftar,n/a,done,done,done,done,done,done,done,done,
51,12,Account,/forgot-password,http://localhost:3002/forgot-password,http://localhost:3002/id/lupa-kata-sandi,n/a,done,done,done,done,done,done,done,done,
52,12,Account,/reset-password,http://localhost:3002/reset-password,http://localhost:3002/id/atur-ulang-kata-sandi,n/a,done,done,done,done,done,done,done,done,
53,12,Account,/account,http://localhost:3002/account,http://localhost:3002/id/akun,n/a,done,done,done,done,done,done,done,done,
54,12,Account,/dashboard,http://localhost:3002/dashboard,http://localhost:3002/id/dasbor,n/a,done,done,done,done,done,done,done,done,
