sn,batch,section,id,en_url,hi_url,en_extracted,ui_sweep,hi_copy,route,gated,seo_meta,verify,browser_qa,status,notes
1,1,Home,/,http://localhost:3002/,http://localhost:3002/hi,n/a,done,done,done,done,done,done,done,done,
2,1,Tools,compress-image,http://localhost:3002/compress-image,http://localhost:3002/hi/compress-image,done,done,done,done,done,done,done,done,done,
3,1,Tools,resize-image,http://localhost:3002/resize-image,http://localhost:3002/hi/resize-image,done,done,done,done,done,done,done,done,done,
4,1,Tools,crop-image,http://localhost:3002/crop-image,http://localhost:3002/hi/crop-image,done,done,done,done,done,done,done,done,done,
5,1,Tools,convert-to-jpg,http://localhost:3002/convert-to-jpg,http://localhost:3002/hi/convert-to-jpg,done,done,done,done,done,done,done,done,done,
6,2,Tools,png-to-jpg,http://localhost:3002/png-to-jpg,http://localhost:3002/hi/png-to-jpg,done,done,done,done,done,done,done,done,done,
7,2,Tools,jpg-to-png,http://localhost:3002/jpg-to-png,http://localhost:3002/hi/jpg-to-png,done,done,done,done,done,done,done,done,done,
8,2,Tools,remove-background,http://localhost:3002/remove-background,http://localhost:3002/hi/remove-background,done,done,done,done,done,done,done,done,done,
9,2,Tools,image-to-text,http://localhost:3002/image-to-text,http://localhost:3002/hi/image-to-text,done,done,done,done,done,done,done,done,done,
10,2,Tools,image-to-pdf,http://localhost:3002/image-to-pdf,http://localhost:3002/hi/image-to-pdf,done,done,done,done,done,done,done,done,done,
11,3,Tools,upscale-image,http://localhost:3002/upscale-image,http://localhost:3002/hi/upscale-image,done,todo,todo,todo,todo,todo,todo,todo,todo,
12,3,Tools,image-editor,http://localhost:3002/image-editor,http://localhost:3002/hi/image-editor,done,todo,todo,todo,todo,todo,todo,todo,todo,
13,3,Tools,watermark-image,http://localhost:3002/watermark-image,http://localhost:3002/hi/watermark-image,done,todo,todo,todo,todo,todo,todo,todo,todo,
14,3,Tools,rotate-image,http://localhost:3002/rotate-image,http://localhost:3002/hi/rotate-image,done,todo,todo,todo,todo,todo,todo,todo,todo,
15,3,Tools,heic-to-jpg,http://localhost:3002/heic-to-jpg,http://localhost:3002/hi/heic-to-jpg,done,todo,todo,todo,todo,todo,todo,todo,todo,
16,4,Legal,/privacy,http://localhost:3002/privacy,http://localhost:3002/hi/privacy,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
17,4,Legal,/terms,http://localhost:3002/terms,http://localhost:3002/hi/terms,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
18,4,Legal,/refunds,http://localhost:3002/refunds,http://localhost:3002/hi/refunds,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
19,4,Legal,/cookies,http://localhost:3002/cookies,http://localhost:3002/hi/cookies,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
